review_id,date,rating,review_text
REV-1001,2026-08-04,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1002,2026-08-08,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1003,2026-08-21,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1004,2026-06-19,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1005,2026-08-16,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1006,2026-08-14,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1007,2026-07-21,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1008,2026-08-10,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1009,2026-06-08,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1010,2026-07-26,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1011,2026-08-30,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1012,2026-07-04,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1013,2026-08-29,5,The performance improvements are incredible. It loads instantly now.
REV-1014,2026-08-03,5,The performance improvements are incredible. It loads instantly now.
REV-1015,2026-08-04,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1016,2026-08-22,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1017,2026-07-11,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1018,2026-06-25,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1019,2026-07-08,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1020,2026-08-01,5,Absolutely love this app! The new update is incredibly fast.
REV-1021,2026-06-20,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1022,2026-08-11,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1023,2026-06-24,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1024,2026-07-17,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1025,2026-06-12,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1026,2026-06-26,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1027,2026-07-15,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1028,2026-07-13,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1029,2026-06-16,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1030,2026-06-02,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1031,2026-06-30,5,Absolutely love this app! The new update is incredibly fast.
REV-1032,2026-08-25,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1033,2026-06-10,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1034,2026-06-13,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1035,2026-08-25,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1036,2026-08-04,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1037,2026-06-28,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1038,2026-08-02,5,The performance improvements are incredible. It loads instantly now.
REV-1039,2026-06-21,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1040,2026-07-25,5,The performance improvements are incredible. It loads instantly now.
REV-1041,2026-06-13,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1042,2026-07-27,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1043,2026-06-09,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1044,2026-06-08,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
