review_id,date,rating,review_text
REV-001,2026-08-01,5,"Love the new interface! It is so much faster than before."
REV-002,2026-07-28,3,"The early withdrawal charge was a surprise. I didn't see it when signing up."
REV-003,2026-07-25,4,"Good app but sometimes it freezes on the dashboard."
REV-004,2026-07-20,2,"I got hit with an early withdrawal charge when I moved my funds. Not happy."
REV-005,2026-08-05,5,"Customer support was amazing when I had an issue with my login."
REV-006,2026-07-15,1,"Terrible experience. The app crashes every time I try to transfer money."
REV-007,2026-07-10,3,"Why is there an early withdrawal charge? Could be communicated better."
REV-008,2026-08-08,4,"Solid investment platform. Could use more charts though."
REV-009,2026-06-25,5,"Great returns and easy to use. Highly recommended!"
REV-010,2026-06-15,2,"Still don't understand the early withdrawal charge. Need more clarity."
REV-011,2026-05-10,4,"Been using this for months. Mostly good."
REV-012,2026-08-09,3,"'App is okay, but the withdrawal process takes too many days.'"
REV-013,2026-08-10,5,"Fantastic! The new update fixed the crashing issue for me."
REV-014,2026-07-01,2,"Hidden fees like the early withdrawal charge make me want to switch."
REV-015,2026-06-30,4,"Clean design, very intuitive."
REV-016,2026-05-01,1,"Too many bugs on Android."
REV-017,2026-08-11,5,"The best financial app I've used. Fast and reliable."
REV-018,2026-07-22,3,"I wish the transaction history was easier to search."
REV-019,2026-07-18,4,"Good experience overall. No major complaints."
REV-020,2026-06-05,2,"Support takes days to reply. Also the early withdrawal charge is steep."
